service_category,sub_service,geography,verified_market_minimum,verified_market_maximum,observed_average_if_available,calculated_midpoint_if_used,recommended_customer_estimate_low,recommended_customer_estimate_high,recommended_provider_budget_low,recommended_provider_budget_high,target_cleanfixharish_gross_margin,materials_policy,travel_policy,urgency_policy,required_customer_information,required_photos,inspection_required,confidence,human_approval_required,evidence_ids,reasoning
Sealing,Seal cracks/gaps between counter and ceramic,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",280,350,Not available,315,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High,Yes—always at this stage,NAT_PRO_SEAL,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Post-renovation cleaning,Four-room apartment post-renovation cleaning,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",1500,3200,Not available,2350,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,Summer demand may raise price; no numeric surcharge stated,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High (provisional Midrag row; requires manual revalidation),Yes—always at this stage,NAT_MID_POST4,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Post-renovation cleaning,"Standard 4-room, 100 sqm example","Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",1300,2000,Not available,1650,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",Medium (provisional Midrag row; requires manual revalidation),Yes—always at this stage,NAT_MID_POST100,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Post-renovation cleaning,"Five-room, 120 sqm example","Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",1700,2300,Not available,2000,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",Medium (provisional Midrag row; requires manual revalidation),Yes—always at this stage,NAT_MID_POST5,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Window/shutter/track cleaning,"Many windows or glass walls add-on, 4-room post-renovation job","Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",300,400,Not available,350,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High (provisional Midrag row; requires manual revalidation),Yes—always at this stage,NAT_MID_GLASS4,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Routine AC cleaning,Split AC filter cleaning,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",262,325,Not available,293.5,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High (provisional Midrag row; requires manual revalidation),Yes—always at this stage,NAT_MID_AC_FILTER,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Routine AC cleaning,Deep split AC cleaning,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",377,565,Not available,471,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High (provisional Midrag row; requires manual revalidation),Yes—always at this stage,NAT_MID_AC_DEEP,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Routine AC cleaning,Mold cleaning of split AC,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",360,550,Not available,455,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High (provisional Midrag row; requires manual revalidation),Yes—always at this stage,NAT_MID_AC_MOLD,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
Air conditioning,Technician diagnostic visit only,"Israel national benchmark only (No verified local price evidence found for Harish, Pardes Hanna-Karkur, or Hadera)",283,351,Not available,317,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Quote separately unless the matched source row explicitly states materials are included,No verified travel adjustment in evidence; require human quote for travel outside core zone,No verified urgency multiplier in this row; do not apply an invented surcharge,"Exact scope, address/city, access (floor/elevator/parking), item count/measurements, materials ownership, urgency, hazards, photos","Wide shot, close-up of task, access path, item/model label; cleaning and AC add room/unit-specific images and video","Yes if photos are missing/unclear, hidden damage is plausible, scope exceeds the matched source description, or access/complexity is uncertain",High (provisional Midrag row; requires manual revalidation),Yes—always at this stage,NAT_MID_AC_VISIT,Recommendation is anchored strictly to the matched national observation row. No local price is implied. Any customer-facing number must be produced by a human reviewer as a non-binding range pending scope confirmation.
All requested categories without a captured local price,Local pricing baseline,Harish,No verified local price evidence found.,No verified local price evidence found.,No verified local price evidence found.,Not applicable,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Human-confirmed only until local evidence exists,Human-confirmed only until local evidence exists,Human-confirmed only until local evidence exists,Full intake required per service-specific checklist,Service-specific checklist; video required for cleaning categories,Human decision required in absence of local benchmark,No local price evidence,Yes—always at this stage,SRC_PRO_HARISH_HANDY;SRC_PRO_HARISH_CLEAN;SRC_B144_HARISH;SRC_EASY_PHK;SRC_CLEANEW_HARISH;SRC_D_HARISH,"Only directory/availability evidence exists for these geographies; none contains an independently re-verified displayed price row in this session, so no local price can be stated."
All requested categories without a captured local price,Local pricing baseline,Pardes Hanna-Karkur,No verified local price evidence found.,No verified local price evidence found.,No verified local price evidence found.,Not applicable,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Human-confirmed only until local evidence exists,Human-confirmed only until local evidence exists,Human-confirmed only until local evidence exists,Full intake required per service-specific checklist,Service-specific checklist; video required for cleaning categories,Human decision required in absence of local benchmark,No local price evidence,Yes—always at this stage,SRC_PRO_HARISH_HANDY;SRC_PRO_HARISH_CLEAN;SRC_B144_HARISH;SRC_EASY_PHK;SRC_CLEANEW_HARISH;SRC_D_HARISH,"Only directory/availability evidence exists for these geographies; none contains an independently re-verified displayed price row in this session, so no local price can be stated."
All requested categories without a captured local price,Local pricing baseline,Hadera,No verified local price evidence found.,No verified local price evidence found.,No verified local price evidence found.,Not applicable,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Unverified hypothesis—do not use for automated pricing,Human-confirmed only until local evidence exists,Human-confirmed only until local evidence exists,Human-confirmed only until local evidence exists,Full intake required per service-specific checklist,Service-specific checklist; video required for cleaning categories,Human decision required in absence of local benchmark,No local price evidence,Yes—always at this stage,SRC_PRO_HARISH_HANDY;SRC_PRO_HARISH_CLEAN;SRC_B144_HARISH;SRC_EASY_PHK;SRC_CLEANEW_HARISH;SRC_D_HARISH,"Only directory/availability evidence exists for these geographies; none contains an independently re-verified displayed price row in this session, so no local price can be stated."
