geography,service_category,missing_evidence,national_reference_available,required_collection_method,minimum_data_fields_to_capture,status,automation_rule
Pardes Hanna-Karkur,Move-in cleaning,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Move-out cleaning,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Routine apartment cleaning,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Post-renovation cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,"Window, shutter and track cleaning",No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Air-conditioner filter cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Air-conditioner deep cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Air-conditioner mold cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Air-conditioner diagnostic visit,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Pardes Hanna-Karkur,Small plumbing jobs,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Handyman visit,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,TV mounting,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,"Shelves, pictures and mirrors",No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Curtain installation,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Furniture assembly,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Small plaster and wall repairs,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Small painting jobs,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Sealing,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Move-in cleaning,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Move-out cleaning,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Routine apartment cleaning,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Post-renovation cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,"Window, shutter and track cleaning",No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Air-conditioner filter cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Air-conditioner deep cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Air-conditioner mold cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Air-conditioner diagnostic visit,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Hadera,Small plumbing jobs,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Handyman visit,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,TV mounting,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,"Shelves, pictures and mirrors",No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Curtain installation,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Furniture assembly,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Small plaster and wall repairs,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Small painting jobs,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Sealing,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Move-in cleaning,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Move-out cleaning,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Routine apartment cleaning,No verified local price evidence found.,No national reference captured in this dataset,"Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Post-renovation cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,"Window, shutter and track cleaning",No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Air-conditioner filter cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Air-conditioner deep cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Air-conditioner mold cleaning,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
Nearby service area,Air-conditioner diagnostic visit,No verified local price evidence found.,"Yes, national benchmark exists in completed dataset","Obtain at least 3 independent telephone/written quotations from insured local providers using an identical written scope, then validate against completed CleanFixHarish jobs","Exact scope, quoted price, VAT status, materials inclusion, callout fee, travel charge, urgency/night/weekend/holiday surcharge, access conditions, duration, provider payout, final invoice, rework outcome",Open,Do not use for automated pricing until closed with verified evidence
